JORNADA,FECHA,LUCHADA,DOBLE,RESULTADO,ALEJANDRO,FABIÁN,ALFREDO,SERGIO,IVÁN,FRAN,ÓSCAR,MANOLÍN
1,10-12 OCT,U. ANTIGUA - U. TETIR,NO,12-11,12-11,12-11,12-10,12-11,12-11,12-11,12-11,12-11
1,10-12 OCT,MAXORATA - SALADAR,NO,11-12,11-12,10-12,11-12,11-12,11-12,11-12,11-12,9-12
1,10-12 OCT,BEDIESTA - ARIDANE,NO,10-12,11-12,10-12,11-12,12-11,10-12,10-12,10-12,5-12
1,10-12 OCT,TAZACORTE - TAMANCA,SI,12-12,12-12,11-12,12-10,12-12,10-12,11-12,10-12,12-12
1,10-12 OCT,CANDELARIA - TEDOTE,NO,12-12,10-12,11-12,12-11,10-12,10-12,10-12,12-11,11-12
1,10-12 OCT,GUAMASA - ROSARIO VALLE GUERRA,NO,12-11,12-11,12-11,12-10,12-11,12-11,12-11,12-11,11-12
1,10-12 OCT,VICTORIA - CAMPITOS,NO,11-12,11-12,10-12,11-12,11-12,11-12,11-12,11-12,10-12
1,10-12 OCT,CHIMBESQUE - TEGUESTE,NO,10-12,8-12,8-12,11-12,11-12,10-12,8-12,9-12,12-11
1,10-12 OCT,U. GÁLDAR - CASTILLO,NO,12-12,12-10,11-12,7-12,12-12,10-12,10-12,8-12,10-12
1,10-12 OCT,CASTRO MORALES - ALMOGARÉN,NO,12-12,12-9,11-12,12-12,10-12,10-12,12-11,12-12,9-12
2,17-19 OCT,ROSARIO - U. TETIR,NO,,,,,,,,,,
2,17-19 OCT,U. ANTIGUA - SALADAR,NO,,,,,,,,,,
2,17-19 OCT,TEDOTE - BEDIESTA,NO,,,,,,,,,,
2,17-19 OCT,TAMANCA - CANDELARIA,NO,,,,,,,,,,
2,17-19 OCT,ARIDANE - TAZACORTE,NO,,,,,,,,,,
2,17-19 OCT,CAMPITOS - GUAMASA,SI,,,,,,,,,,
2,17-19 OCT,CHIMBESQUE - VICTORIA,NO,,,,,,,,,,
2,17-19 OCT,ROSARIO VALLE GUERRA - TEGUESTE,NO,,,,,,,,,,
3,24-26 OCT,SALADAR - ROSARIO,NO,,,,,,,,,,
3,24-26 OCT,MAXORATA - U. ANTIGUA,NO,,,,,,,,,,
3,24-26 OCT,BEDIESTA - TAZACORTE,SI,,,,,,,,,,
3,24-26 OCT,ARIDANE - CANDELARIA,NO,,,,,,,,,,
3,24-26 OCT,TAMANCA - TEDOTE,NO,,,,,,,,,,
3,24-26 OCT,GUAMASA - ROSARIO VALLE GUERRA,NO,,,,,,,,,,
3,24-26 OCT,TEGUESTE - CAMPITOS,NO,,,,,,,,,,
3,24-26 OCT,VICTORIA - CHIMBESQUE,NO,,,,,,,,,,
3,24-26 OCT,ALMOGARÉN - U. GÁLDAR,NO,,,,,,,,,,
3,24-26 OCT,CASTILLO - CASTRO MORALES,NO,,,,,,,,,,
